X,title,category,album,artist,album_id
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,0S0KGZnfBGSIssfF54WSJh
2018,61st Annual GRAMMY Awards  (2018),Album Of The Year,Golden Hour,Kacey Musgraves,7f6xPqyaolTiziKf5R5Z0c
2017,60th Annual GRAMMY Awards  (2017),Album Of The Year,24K Magic,Bruno Mars,4PgleR09JVnm3zY1fW3XBA
2016,59th Annual GRAMMY Awards  (2016),Album Of The Year,25,Adele,0K4pIOOsfJ9lK8OjrZfXzd
2015,58th Annual GRAMMY Awards  (2015),Album Of The Year,1989,Taylor Swift,2QJmrSgbdM35R67eoGQo4j
2014,57th Annual GRAMMY Awards  (2014),Album Of The Year,Morning Phase,Beck,2Qx7dgA5VjX8JDQaXVxzHu
2013,56th Annual GRAMMY Awards  (2013),Album Of The Year,Random Access Memories,Daft Punk,4m2880jivSbbyEGAKfITCa
2012,55th Annual GRAMMY Awards  (2012),Album Of The Year,Babel,Mumford & Sons,4Blt0T4LKGdWreILkYZre3
2011,54th Annual GRAMMY Awards  (2011),Album Of The Year,21,Adele,1azUkThwd2HfUDdeNeT147
2010,53rd Annual GRAMMY Awards  (2010),Album Of The Year,The Suburbs,Arcade Fire,3DrgM5X3yX1JP1liNLAOHI
2009,52nd Annual GRAMMY Awards  (2009),Album Of The Year,Fearless,Taylor Swift,2dqn5yOQWdyGwOpOIi9O4x
2008,51st Annual GRAMMY Awards  (2008),Album Of The Year,Raising Sand,Robert Plant & Alison Krauss,54GfJ3ZEY2b6PKmvETmj1n
2007,50th Annual GRAMMY Awards  (2007),Album Of The Year,River: The Joni Letters,Herbie Hancock,3GwR5VxaMzB01ay6qIT3Yq
2006,49th Annual GRAMMY Awards  (2006),Album Of The Year,Taking The Long Way,Dixie Chicks,2NeJdEWras0uSuzLPlJZk5
2005,48th Annual GRAMMY Awards  (2005),Album Of The Year,How To Dismantle An Atomic Bomb,U2,5PQPur1PEZFDkI0AXbxFlB
2004,47th Annual GRAMMY Awards  (2004),Album Of The Year,Genius Loves Company,Ray Charles & Various Artists,N/A
2003,46th Annual GRAMMY Awards  (2003),Album Of The Year,Speakerboxxx/The Love Below,OutKast,1UsmQ3bpJTyK6ygoOOjG1r
2002,45th Annual GRAMMY Awards  (2002),Album Of The Year,Come Away With Me,Norah Jones,1JvoMzqg04nC29gam4Qaiq
2001,44th Annual GRAMMY Awards  (2001),Album Of The Year,"O Brother, Where Art Thou? - Soundtrack",(Various Artists),7gzX88qS3Vx2r87g5pbdfJ
2000,43rd Annual GRAMMY Awards  (2000),Album Of The Year,Two Against Nature,Steely Dan,2MJc2N3eFVT0ZabBN4zc32
1999,42nd Annual GRAMMY Awards  (1999),Album Of The Year,Supernatural,Santana,10aiDpdFGyfCFEcqpx6XTq
1998,41st Annual GRAMMY Awards  (1998),Album Of The Year,The Miseducation Of Lauryn Hill,Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD
1997,40th Annual GRAMMY Awards  (1997),Album Of The Year,Time Out Of Mind,Bob Dylan,185DHT5SvszXRrezx3lOjt
1996,39th Annual GRAMMY Awards  (1996),Album Of The Year,Falling Into You,Celine Dion,2vk0n8aeQSO74VtQBbNDPR
1995,38th Annual GRAMMY Awards  (1995),Album Of The Year,Jagged Little Pill,Alanis Morissette,5Ap3F8CxjjsQKZGASDcHNA
1994,37th Annual GRAMMY Awards  (1994),Album Of The Year,MTV Unplugged,Tony Bennett,2y2RzWSrqQsOZwGlhkPp6D
1993,36th Annual GRAMMY Awards  (1993),Album Of The Year,The Bodyguard - Original Soundtrack Album,Whitney Houston,7JVJlkNNobS0GSoy4tCS96
1992,35th Annual GRAMMY Awards  (1992),Album Of The Year,Unplugged,Eric Clapton,3ebyEGol0Abc7VAxYf7vEg
1991,34th Annual GRAMMY Awards  (1991),Album Of The Year,Unforgettable With Love,Natalie Cole,3Z4DrrPcAsTWOhDelLNwrK
1990,33rd Annual GRAMMY Awards  (1990),Album Of The Year,Back On The Block,Quincy Jones (And Various Artists),5DR4gcd3fj3E6XhbPTaF82
1989,32nd Annual GRAMMY Awards  (1989),Album Of The Year,Nick Of Time,Bonnie Raitt,6wxpS5o0ty5CLqyH5fIRln
1988,31st Annual GRAMMY Awards  (1988),Album Of The Year,Faith,George Michael,34K1Kvskt9arWy8E1Gz3Lw
1987,30th Annual GRAMMY Awards  (1987),Album Of The Year,The Joshua Tree,U2,5y6wlw1LnqFnQFruMeiwGU
1986,29th Annual GRAMMY Awards  (1986),Album Of The Year,Graceland,Paul Simon,6WgGWYw6XXQyLTsWt7tXky
1985,28th Annual GRAMMY Awards  (1985),Album Of The Year,No Jacket Required,Phil Collins,1rVhockt4RAiZFaK3M3zPB
1984,27th Annual GRAMMY Awards  (1984),Album Of The Year,Can't Slow Down,Lionel Richie,3alZBOvPaK3hgMEEymw4Yr
1983,26th Annual GRAMMY Awards  (1983),Album Of The Year,Thriller,Michael Jackson,1C2h7mLntPSeVYciMRTF4a
1982,25th Annual GRAMMY Awards  (1982),Album Of The Year,Toto IV,Toto,62U7xIHcID94o20Of5ea4D
1981,24th Annual GRAMMY Awards  (1981),Album Of The Year,Double Fantasy,John Lennon & Yoko Ono,1NWA2fPLUAW5df7UGI5thp
1980,23rd Annual GRAMMY Awards  (1980),Album Of The Year,Christopher Cross,Christopher Cross,2m2nl8cBT7bEgIA6LLmgah
